state,avg
Alabama,5097
Alaska,1679
Arizona,4716
Arkansas,3730
California,52178
Colorado,2950
Connecticut,4447
Delaware,1019
District of Columbia,479
Florida,11969
Georgia,10211
Hawaii,1549
Idaho,2106
Illinois,13962
Indiana,6689
Iowa,3630
Kansas,2929
Kentucky,5340
Louisiana,3552
Maine,1357
Maryland,4831
Massachusetts,7681
Michigan,14989
Minnesota,5370
Mississippi,2808
Missouri,7168
Montana,1213
Nebraska,1419
Nevada,3421
New Hampshire,1044
New Jersey,10964
New Mexico,1267
New York,21569
North Carolina,11884
North Dakota,563
Ohio,12214
Oklahoma,2340
Oregon,7054
Pennsylvania,22095
Puerto Rico,3041
Rhode Island,1568
South Carolina,5502
South Dakota,374
Tennessee,6284
Texas,16887
Utah,1682
Vermont,809
Virgin Islands,56
Virginia,5577
Washington,9465
West Virginia,1543
Wisconsin,11409
Wyoming,496
nat,344932
